,Descripción,Link
0,acercamiento de la mujer indígena brasileña a una tribu indígena en la amazonía,https://www.shutterstock.com/image-photo/closeup-face-native-brazilian-woman-260nw-642706267.jpg
1,mujer indígena de la tribu uitoto de la amazonia colombiana tejiendo una canasta tradicional,https://www.shutterstock.com/image-photo/indigenous-woman-uitoto-tribe-colombian-260nw-1864428307.jpg
2,"amazonia, latina américa - nov 11, 2018: retrato de un hombre en un pequeño bote de madera, un habitante local de la selva amazónica. valle de javari. brasil (valle del yavarí)",https://www.shutterstock.com/image-photo/amazonia-latin-america-nov-11-260nw-2472536749.jpg
3,"amazonas, colombia - 5 de septiembre de 2024: el pueblo de colombia. niños locales jugando en su pueblo indígena amazónico.",https://www.shutterstock.com/image-photo/people-colombia-young-kid-walking-260nw-2513417711.jpg
4,"amazonas, colombia - 5 de septiembre de 2024: el pueblo de colombia. niños locales jugando en su pueblo indígena amazónico.",https://www.shutterstock.com/image-photo/group-latin-kids-playing-amazonas-260nw-2513417713.jpg
5,"alalapadu, surinam - 18 de noviembre de 2016: una mujer indígena hornea un pan de mandioca de la manera tradicional en una grande bandeja redonda sobre un fuego de leña abierto. las llamas cocinan la harina en pan.",https://www.shutterstock.com/image-photo/alalapadu-suriname-november-18th-2016-260nw-2472082473.jpg
6,"amazonas, colombia - 25 de agosto de 2024: el pueblo de colombia. niños locales jugando en su pueblo indígena amazónico.",https://www.shutterstock.com/image-photo/amazonas-colombia-august-25th-2024-260nw-2510002673.jpg
7,"amazonas, colombia - 25 de agosto de 2024: el pueblo de colombia. niños locales jugando en su pueblo indígena amazónico.",https://www.shutterstock.com/image-photo/amazonas-colombia-people-local-children-260nw-2510002671.jpg
8,"alalapadu, surinam - 18 de noviembre de 2016: una mujer indígena en un pueblo indígena en la selva amazónica abre una nuez de brasil con un machete",https://www.shutterstock.com/image-photo/alalapadu-suriname-november-18th-2016-260nw-2476769289.jpg
9,"amazonas, colombia - 25 de agosto de 2024: el pueblo de colombia. niños locales jugando en su pueblo indígena amazónico.",https://www.shutterstock.com/image-photo/amazonas-colombia-people-local-children-260nw-2510005231.jpg
10,"alalapadu, surinam - 17 de noviembre de 2016: dos mujeres indígenas sentadas debajo de un refugio de madera con cassava en un pueblo indígena en la selva amazónica surinamesa.",https://www.shutterstock.com/image-photo/alalapadu-suriname-november-17th-2016-260nw-2472398383.jpg
